"No.","Time","Source","Destination","Protocol","Length","Info"
"5011","14.265576000","10.0.130.203","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5012","14.265577000","10.0.130.232","255.255.255.255","UDP","1190","Source port: 1977  Destination port: 2012"
"5016","14.267579000","10.0.130.95","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"5017","14.267579000","10.0.130.175","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"5018","14.267580000","10.0.129.169","255.255.255.255","UDP","1150","Source port: 1977  Destination port: 2012"
"5019","14.267581000","10.0.128.174","255.255.255.255","UDP","1199","Source port: 1977  Destination port: 2012"
"5020","14.267581000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"5022","14.269577000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5023","14.271577000","10.0.130.68","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"5024","14.271577000","10.0.128.124","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"5025","14.273576000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"5026","14.276577000","10.0.130.89","255.255.255.255","UDP","1124","Source port: 1977  Destination port: 2012"
"5027","14.278577000","10.0.130.231","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"5028","14.278578000","10.0.130.207","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"5029","14.278578000","10.0.128.78","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"5030","14.280577000","10.0.130.66","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5031","14.282577000","10.0.130.177","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"5032","14.282577000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"5033","14.284577000","10.0.130.30","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"5034","14.286578000","10.0.130.208","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"5035","14.286578000","10.0.130.197","255.255.255.255","UDP","1153","Source port: 1977  Destination port: 2012"
"5036","14.286579000","10.0.130.196","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"5037","14.288577000","10.0.129.163","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"5038","14.288578000","10.0.130.70","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"5039","14.290577000","10.0.130.71","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"5040","14.292578000","10.0.129.206","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"5041","14.292579000","10.0.130.73","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"5042","14.292579000","10.0.128.202","255.255.255.255","UDP","1261","Source port: 1977  Destination port: 2012"
"5043","14.294578000","192.168.14.34","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"5044","14.294578000","10.0.130.8","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"5045","14.294579000","10.0.130.198","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"5046","14.296577000","10.0.130.92","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"5047","14.300592000","10.0.130.4","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"5048","14.302166000","192.168.14.24","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"5049","14.304230000","10.0.130.94","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"5050","14.304410000","192.168.14.22","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"5051","14.305243000","10.0.128.172","255.255.255.255","UDP","1267","Source port: 1977  Destination port: 2012"
"5053","14.307000000","192.168.14.33","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"5055","14.308112000","10.0.128.236","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"5059","14.311206000","10.0.130.108","255.255.255.255","UDP","1256","Source port: 1977  Destination port: 2012"
"5060","14.313402000","10.0.130.171","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"5061","14.313684000","10.0.130.21","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"5062","14.315228000","10.0.130.172","255.255.255.255","UDP","1195","Source port: 1977  Destination port: 2012"
"5063","14.319579000","0.0.0.0","255.255.255.255","UDP","1094","Source port: 1977  Destination port: 2012"
"5064","14.319579000","10.0.130.38","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5065","14.321579000","192.168.14.31","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"5066","14.321579000","10.0.128.80","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"5069","14.326580000","10.0.128.38","255.255.255.255","UDP","1258","Source port: 1977  Destination port: 2012"
"5071","14.328579000","10.0.128.237","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"5073","14.332600000","10.0.128.122","255.255.255.255","UDP","1278","Source port: 1977  Destination port: 2012"
"5075","14.340580000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"5077","14.346582000","10.0.130.199","255.255.255.255","UDP","1204","Source port: 1977  Destination port: 2012"
"5081","14.352582000","10.0.130.32","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5085","14.358581000","192.168.14.26","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"5090","14.367177000","10.0.130.9","255.255.255.255","UDP","1250","Source port: 1977  Destination port: 2012"
"5091","14.367722000","10.0.130.39","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"5108","14.391897000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"5109","14.392148000","10.0.130.177","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"5173","14.453605000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9871","29.945030000","10.0.128.54","255.255.255.255","UDP","1123","Source port: 1977  Destination port: 2012"
"9884","29.946741000","10.0.130.114","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"9894","29.951873000","192.168.14.161","255.255.255.255","UDP","1132","Source port: 1977  Destination port: 2012"
"9895","29.955241000","10.0.129.59","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"9897","29.955708000","10.0.130.66","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9900","29.963223000","10.0.130.100","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"9901","29.965224000","10.0.128.36","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"9902","29.967224000","10.0.130.56","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9904","29.969228000","10.0.130.60","255.255.255.255","UDP","1159","Source port: 1977  Destination port: 2012"
"9905","29.969230000","10.0.130.70","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9907","29.969233000","10.0.128.130","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"9908","29.969234000","10.0.129.169","255.255.255.255","UDP","1150","Source port: 1977  Destination port: 2012"
"9911","29.969865000","10.0.130.73","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"9912","29.971422000","10.0.130.90","255.255.255.255","UDP","1176","Source port: 1977  Destination port: 2012"
"9915","29.972141000","10.0.130.68","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"9916","29.974224000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"9917","29.976224000","10.0.128.174","255.255.255.255","UDP","1199","Source port: 1977  Destination port: 2012"
"9920","29.976231000","10.0.130.210","255.255.255.255","UDP","1131","Source port: 1977  Destination port: 2012"
"9926","29.982081000","10.0.128.228","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"9929","29.982651000","10.0.130.211","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"9934","29.987243000","10.0.128.138","255.255.255.255","UDP","1130","Source port: 1977  Destination port: 2012"
"9936","29.988560000","10.0.130.69","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9937","29.989119000","10.0.128.124","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"9938","29.989301000","10.0.128.73","255.255.255.255","UDP","1208","Source port: 1977  Destination port: 2012"
"9939","29.990217000","10.0.130.65","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9940","29.993219000","10.0.130.57","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9941","29.995219000","10.0.130.59","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9942","29.995220000","10.0.130.205","255.255.255.255","UDP","1171","Source port: 1977  Destination port: 2012"
"9943","29.997220000","10.0.130.74","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"9944","29.997221000","10.0.130.169","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"9945","29.997817000","10.0.130.2","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"9946","29.999597000","10.0.130.61","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9947","30.002219000","10.0.128.78","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"9948","30.002220000","0.0.0.0","255.255.255.255","UDP","1094","Source port: 1977  Destination port: 2012"
"9949","30.002222000","10.0.130.72","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9951","30.003140000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"9952","30.003141000","10.0.130.67","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9953","30.004675000","10.0.128.99","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"9954","30.004876000","10.0.128.81","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9956","30.005627000","10.0.130.112","255.255.255.255","UDP","1187","Source port: 1977  Destination port: 2012"
"9957","30.005828000","10.0.128.175","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9958","30.006771000","10.0.129.206","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"9959","30.007247000","10.0.130.167","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"9960","30.008649000","192.168.14.160","255.255.255.255","UDP","1134","Source port: 1977  Destination port: 2012"
"9961","30.009408000","10.0.130.108","255.255.255.255","UDP","1256","Source port: 1977  Destination port: 2012"
"9962","30.010492000","10.0.128.202","255.255.255.255","UDP","1261","Source port: 1977  Destination port: 2012"
"9963","30.010686000","10.0.130.207","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"9964","30.010877000","10.0.130.21","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"9965","30.012651000","10.0.130.212","255.255.255.255","UDP","1186","Source port: 1977  Destination port: 2012"
"9966","30.013349000","10.0.128.236","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"9967","30.015028000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9968","30.015280000","10.0.130.172","255.255.255.255","UDP","1195","Source port: 1977  Destination port: 2012"
"9969","30.015469000","10.0.128.172","255.255.255.255","UDP","1267","Source port: 1977  Destination port: 2012"
"9971","30.015980000","10.0.130.209","255.255.255.255","UDP","1180","Source port: 1977  Destination port: 2012"
"9972","30.016241000","10.0.130.113","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"9973","30.016430000","10.0.130.170","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"9976","30.018289000","10.0.130.171","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"9977","30.020742000","10.0.130.89","255.255.255.255","UDP","1124","Source port: 1977  Destination port: 2012"
"9978","30.022062000","192.168.14.34","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"9979","30.023644000","10.0.130.231","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"9980","30.025399000","10.0.130.30","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"9981","30.025967000","10.0.130.213","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"9982","30.027462000","10.0.130.224","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"9983","30.027650000","10.0.128.126","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"9984","30.027887000","10.0.130.32","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"9987","30.029257000","10.0.130.173","255.255.255.255","UDP","1211","Source port: 1977  Destination port: 2012"
"9989","30.029448000","10.0.130.202","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"9990","30.029636000","10.0.130.175","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"9991","30.031236000","10.0.130.232","255.255.255.255","UDP","1190","Source port: 1977  Destination port: 2012"
"9992","30.031426000","192.168.14.31","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"9993","30.031426000","10.0.130.94","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"9994","30.031614000","10.0.130.75","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"9995","30.031913000","10.0.128.114","255.255.255.255","UDP","1202","Source port: 1977  Destination port: 2012"
"9996","30.034203000","10.0.129.165","255.255.255.255","UDP","1222","Source port: 1977  Destination port: 2012"
"9997","30.035288000","10.0.130.198","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"9999","30.036024000","10.0.130.96","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"10000","30.036508000","10.0.129.63","255.255.255.255","UDP","1210","Source port: 1977  Destination port: 2012"
"10001","30.037502000","10.0.128.180","255.255.255.255","UDP","1197","Source port: 1977  Destination port: 2012"
"10002","30.038027000","10.0.130.196","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10003","30.038777000","10.0.130.204","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10005","30.040809000","10.0.128.21","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"10007","30.042059000","10.0.130.118","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10008","30.042247000","10.0.129.163","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"10009","30.043645000","10.0.130.71","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10010","30.044050000","10.0.130.8","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"10011","30.047644000","10.0.130.117","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10014","30.049172000","10.0.130.208","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"10016","30.050020000","10.0.130.58","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10017","30.050238000","10.0.130.203","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10018","30.051913000","10.0.128.122","255.255.255.255","UDP","1278","Source port: 1977  Destination port: 2012"
"10019","30.052543000","10.0.130.114","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"10023","30.056847000","10.0.128.54","255.255.255.255","UDP","1123","Source port: 1977  Destination port: 2012"
"10024","30.060654000","10.0.128.80","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"10025","30.061771000","192.168.14.26","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"10026","30.062822000","10.0.130.55","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10027","30.063022000","10.0.129.59","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"10028","30.063992000","192.168.14.161","255.255.255.255","UDP","1132","Source port: 1977  Destination port: 2012"
"10030","30.064822000","10.0.130.39","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10031","30.065169000","192.168.14.33","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"10033","30.071518000","10.0.130.100","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"10034","30.071722000","10.0.130.66","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10035","30.071725000","10.0.128.36","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"10036","30.073252000","10.0.130.168","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10037","30.074496000","10.0.128.38","255.255.255.255","UDP","1258","Source port: 1977  Destination port: 2012"
"10038","30.076582000","10.0.130.56","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10039","30.076781000","10.0.130.60","255.255.255.255","UDP","1159","Source port: 1977  Destination port: 2012"
"10040","30.076983000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10041","30.077243000","10.0.130.70","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10042","30.077446000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10043","30.077447000","10.0.128.130","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"10046","30.079176000","10.0.130.92","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"10047","30.079567000","10.0.129.169","255.255.255.255","UDP","1150","Source port: 1977  Destination port: 2012"
"10049","30.083087000","10.0.128.174","255.255.255.255","UDP","1199","Source port: 1977  Destination port: 2012"
"10050","30.083089000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"10051","30.083092000","10.0.128.237","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10052","30.084047000","10.0.130.68","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10053","30.084253000","10.0.130.90","255.255.255.255","UDP","1176","Source port: 1977  Destination port: 2012"
"10054","30.085834000","10.0.130.4","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10055","30.086673000","10.0.130.9","255.255.255.255","UDP","1250","Source port: 1977  Destination port: 2012"
"10056","30.087524000","10.0.130.73","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"10057","30.088170000","10.0.130.95","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"10058","30.088474000","10.0.128.228","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"10060","30.089340000","10.0.130.210","255.255.255.255","UDP","1131","Source port: 1977  Destination port: 2012"
"10062","30.094230000","10.0.130.197","255.255.255.255","UDP","1153","Source port: 1977  Destination port: 2012"
"10063","30.095081000","10.0.128.138","255.255.255.255","UDP","1130","Source port: 1977  Destination port: 2012"
"10064","30.099077000","10.0.128.124","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10065","30.099079000","10.0.128.73","255.255.255.255","UDP","1208","Source port: 1977  Destination port: 2012"
"10066","30.100239000","10.0.130.211","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"10067","30.102228000","10.0.130.69","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10069","30.102231000","10.0.130.65","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10070","30.102870000","10.0.130.205","255.255.255.255","UDP","1171","Source port: 1977  Destination port: 2012"
"10071","30.102873000","10.0.130.59","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10072","30.102874000","10.0.130.201","255.255.255.255","UDP","1205","Source port: 1977  Destination port: 2012"
"10073","30.102875000","10.0.130.57","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10074","30.106984000","10.0.130.74","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"10075","30.107634000","192.168.14.22","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"10076","30.109275000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"10078","30.110021000","10.0.130.169","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10079","30.110241000","10.0.130.61","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10083","30.112524000","10.0.130.2","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"10084","30.112739000","10.0.130.112","255.255.255.255","UDP","1187","Source port: 1977  Destination port: 2012"
"10085","30.113080000","10.0.130.72","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10086","30.113806000","10.0.128.81","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10089","30.115957000","0.0.0.0","255.255.255.255","UDP","1094","Source port: 1977  Destination port: 2012"
"10090","30.116732000","10.0.128.78","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10091","30.116928000","10.0.128.175","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10093","30.117597000","10.0.128.99","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10094","30.118108000","10.0.130.67","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10096","30.119251000","10.0.130.167","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"10097","30.119450000","10.0.128.202","255.255.255.255","UDP","1261","Source port: 1977  Destination port: 2012"
"10098","30.120380000","10.0.130.108","255.255.255.255","UDP","1256","Source port: 1977  Destination port: 2012"
"10099","30.121321000","192.168.14.160","255.255.255.255","UDP","1134","Source port: 1977  Destination port: 2012"
"10100","30.123277000","10.0.130.113","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"10101","30.123737000","10.0.130.207","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"10102","30.124778000","10.0.130.38","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10103","30.126075000","10.0.130.172","255.255.255.255","UDP","1195","Source port: 1977  Destination port: 2012"
"10104","30.126595000","10.0.130.21","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10105","30.126805000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10108","30.127283000","10.0.128.236","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"10109","30.128738000","10.0.130.89","255.255.255.255","UDP","1124","Source port: 1977  Destination port: 2012"
"10110","30.129355000","10.0.128.172","255.255.255.255","UDP","1267","Source port: 1977  Destination port: 2012"
"10111","30.129780000","10.0.129.206","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"10112","30.129988000","10.0.130.170","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"10113","30.131681000","10.0.130.212","255.255.255.255","UDP","1186","Source port: 1977  Destination port: 2012"
"10114","30.132513000","10.0.130.209","255.255.255.255","UDP","1180","Source port: 1977  Destination port: 2012"
"10115","30.133014000","10.0.130.171","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"10116","30.133221000","10.0.130.231","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"10117","30.133414000","10.0.130.30","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"10120","30.135884000","192.168.14.34","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"10122","30.137424000","10.0.130.224","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"10124","30.138812000","10.0.130.213","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"10125","30.139018000","10.0.130.32","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10126","30.139018000","10.0.130.202","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"10127","30.139595000","10.0.128.126","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"10128","30.141297000","10.0.130.173","255.255.255.255","UDP","1211","Source port: 1977  Destination port: 2012"
"10129","30.141783000","10.0.130.232","255.255.255.255","UDP","1190","Source port: 1977  Destination port: 2012"
"10131","30.142734000","10.0.128.114","255.255.255.255","UDP","1202","Source port: 1977  Destination port: 2012"
"10132","30.143391000","10.0.130.94","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10133","30.143595000","10.0.130.175","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"10134","30.144021000","10.0.130.75","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"10135","30.145020000","10.0.130.96","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"10136","30.147076000","10.0.130.198","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10138","30.147500000","10.0.128.180","255.255.255.255","UDP","1197","Source port: 1977  Destination port: 2012"
"10139","30.148062000","10.0.130.196","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"10140","30.148497000","10.0.128.21","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"10141","30.149842000","192.168.14.31","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"10143","30.150977000","192.168.14.24","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"10144","30.151232000","10.0.129.165","255.255.255.255","UDP","1222","Source port: 1977  Destination port: 2012"
"10145","30.152735000","10.0.129.63","255.255.255.255","UDP","1210","Source port: 1977  Destination port: 2012"
"10146","30.152736000","10.0.130.71","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10147","30.153981000","10.0.130.118","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10149","30.155204000","10.0.129.163","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"10152","30.156979000","10.0.130.204","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10154","30.157551000","10.0.130.117","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10156","30.159051000","10.0.130.58","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10157","30.161013000","10.0.130.8","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"10158","30.161014000","10.0.130.208","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"10160","30.164496000","10.0.130.203","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10161","30.166462000","10.0.128.122","255.255.255.255","UDP","1278","Source port: 1977  Destination port: 2012"
"10162","30.170260000","10.0.130.199","255.255.255.255","UDP","1204","Source port: 1977  Destination port: 2012"
"10163","30.172552000","10.0.130.177","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"10165","30.173525000","10.0.128.80","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"10167","30.176863000","192.168.14.26","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"10169","30.178569000","192.168.14.33","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"10170","30.178769000","10.0.130.55","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10174","30.183786000","10.0.130.39","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"10175","30.187354000","10.0.130.168","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10177","30.189947000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10178","30.190168000","10.0.130.92","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"10179","30.192232000","10.0.128.38","255.255.255.255","UDP","1258","Source port: 1977  Destination port: 2012"
"10182","30.193682000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"10185","30.197768000","10.0.128.237","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"10186","30.200776000","10.0.130.4","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"10187","30.203176000","10.0.130.197","255.255.255.255","UDP","1153","Source port: 1977  Destination port: 2012"
"10189","30.204759000","10.0.130.9","255.255.255.255","UDP","1250","Source port: 1977  Destination port: 2012"
