"No.","Time","Source","Destination","Protocol","Length","Info"
"1369","4.010390000","10.0.128.126","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"1371","4.011627000","10.0.128.78","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1372","4.012293000","10.0.130.56","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1373","4.014087000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"1374","4.014421000","10.0.130.171","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"1375","4.014616000","10.0.130.74","255.255.255.255","UDP","1152","Source port: 1977  Destination port: 2012"
"1376","4.014871000","10.0.130.213","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1377","4.015188000","10.0.130.94","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1378","4.019354000","10.0.130.117","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1379","4.019542000","10.0.129.206","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"1380","4.019730000","10.0.130.2","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
"1381","4.020353000","10.0.130.198","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1382","4.022274000","10.0.130.209","255.255.255.255","UDP","1180","Source port: 1977  Destination port: 2012"
"1383","4.022463000","10.0.128.175","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1384","4.023542000","10.0.130.232","255.255.255.255","UDP","1190","Source port: 1977  Destination port: 2012"
"1385","4.025182000","10.0.130.108","255.255.255.255","UDP","1256","Source port: 1977  Destination port: 2012"
"1386","4.026324000","10.0.130.196","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1387","4.027046000","10.0.130.173","255.255.255.255","UDP","1211","Source port: 1977  Destination port: 2012"
"1388","4.028268000","10.0.130.72","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1390","4.030620000","10.0.130.169","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1391","4.032174000","10.0.130.61","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1392","4.033202000","10.0.128.36","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"1393","4.034735000","10.0.130.21","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1394","4.035627000","10.0.128.54","255.255.255.255","UDP","1123","Source port: 1977  Destination port: 2012"
"1397","4.043116000","10.0.130.212","255.255.255.255","UDP","1186","Source port: 1977  Destination port: 2012"
"1398","4.043354000","10.0.129.169","255.255.255.255","UDP","1150","Source port: 1977  Destination port: 2012"
"1399","4.044382000","10.0.130.112","255.255.255.255","UDP","1187","Source port: 1977  Destination port: 2012"
"1400","4.045265000","10.0.128.114","255.255.255.255","UDP","1202","Source port: 1977  Destination port: 2012"
"1403","4.046638000","10.0.130.208","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"1404","4.046827000","10.0.130.75","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"1407","4.050549000","10.0.130.197","255.255.255.255","UDP","1153","Source port: 1977  Destination port: 2012"
"1408","4.050743000","10.0.128.237","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1409","4.053245000","10.0.130.207","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"1410","4.054289000","10.0.128.38","255.255.255.255","UDP","1258","Source port: 1977  Destination port: 2012"
"1411","4.054728000","10.0.129.59","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"1412","4.055770000","10.0.128.122","255.255.255.255","UDP","1278","Source port: 1977  Destination port: 2012"
"1413","4.056746000","10.0.130.113","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"1414","4.057361000","10.0.130.100","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"1415","4.057556000","10.0.128.80","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"1416","4.057557000","10.0.130.203","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1417","4.058281000","10.0.128.21","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"1418","4.059556000","10.0.130.68","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1419","4.060103000","192.168.14.34","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1420","4.060544000","10.0.130.231","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"1421","4.061866000","10.0.130.90","255.255.255.255","UDP","1176","Source port: 1977  Destination port: 2012"
"1422","4.064302000","10.0.130.57","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1423","4.064492000","10.0.128.81","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1424","4.064905000","10.0.128.73","255.255.255.255","UDP","1208","Source port: 1977  Destination port: 2012"
"1425","4.066140000","10.0.128.236","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"1427","4.068720000","192.168.14.31","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1428","4.069533000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1430","4.073113000","10.0.130.70","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1431","4.073302000","10.0.130.204","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1432","4.074330000","192.168.14.160","255.255.255.255","UDP","1134","Source port: 1977  Destination port: 2012"
"1433","4.075244000","10.0.130.201","255.255.255.255","UDP","1205","Source port: 1977  Destination port: 2012"
