10.0.130.208,2,25
10.0.130.112,8,26
10.0.130.170,2,25
10.0.128.130,2,26
10.0.130.56,4,25
10.0.128.45,5,26
10.0.130.70,5,26
10.0.128.174,2,25
10.0.128.114,3,26
10.0.130.212,3,26
192.168.14.24,4,26
10.0.128.99,4,26
10.0.130.61,2,25
10.0.130.74,2,26
10.0.130.62,2,26
10.0.128.126,9,25
10.0.128.138,4,26
10.0.130.201,4,26
10.0.130.71,2,24
192.168.14.31,2,26
10.0.129.165,3,26
10.0.128.175,2,26
10.0.130.58,6,25
10.0.129.163,6,26
10.0.130.73,4,26
10.0.130.211,7,26
10.0.128.78,1,26
10.0.130.89,9,26
10.0.130.117,6,26
10.0.130.108,2,26
10.0.128.180,4,26
10.0.130.96,5,26
10.0.128.54,7,26
10.0.130.60,2,26
10.0.128.228,4,26
10.0.130.100,8,26
10.0.128.21,4,26
10.0.128.124,4,26
10.0.130.213,4,25
10.0.130.66,5,26
10.0.130.118,2,26
10.0.130.205,2,26
10.0.130.197,1,26
10.0.128.36,4,26
10.0.130.59,8,26
10.0.130.203,2,25
10.0.130.90,4,26
10.0.130.67,2,26
10.0.129.63,1,25
10.0.130.32,4,25
192.168.14.161,9,26
10.0.130.75,5,25
10.0.128.81,2,26
10.0.130.68,8,24
10.0.129.59,7,26
192.168.14.160,2,26
10.0.130.113,2,26
10.0.130.57,4,24
10.0.128.202,6,25
10.0.130.65,6,26
10.0.130.72,4,26
10.0.130.198,1,24
10.0.130.173,4,26
10.0.130.114,3,26
10.0.130.209,2,25
10.0.130.40,4,24
10.0.130.167,2,26
10.0.130.232,2,25
192.168.14.23,2,26
10.0.130.69,2,26
10.0.129.169,5,26
10.0.129.164,1,26
10.0.130.30,8,26
10.0.130.231,2,25
10.0.130.210,2,25
10.0.130.177,16,26
